age,mean,sigma
92.7,3.928624,0.112834
92.8,3.92795,0.112367
92.9,3.927762,0.111761
93,3.92795,0.111185
93.1,3.928229,0.110657
93.2,3.928642,0.110142
93.3,3.928931,0.109657
93.4,3.929042,0.109112
93.5,3.928864,0.108745
93.6,3.928582,0.108512
93.7,3.928166,0.108274
93.8,3.927234,0.108115
93.9,3.925836,0.107965
94,3.92389,0.10795
94.1,3.92125,0.108094
94.2,3.918136,0.108263
94.3,3.914436,0.108433
94.4,3.910512,0.108438
94.5,3.906141,0.108534
94.6,3.901324,0.108689
94.7,3.896142,0.108942
94.8,3.890929,0.109205
94.9,3.885592,0.109342
95,3.879637,0.109516
95.1,3.873687,0.109716
95.2,3.867226,0.109983
95.3,3.860399,0.110332
95.4,3.853334,0.110579
95.5,3.846365,0.110952
95.6,3.839194,0.111415
95.7,3.831579,0.1118
95.8,3.82309,0.112292
95.9,3.814543,0.112755
96,3.805812,0.113352
96.1,3.796639,0.113822
96.2,3.787818,0.114013
96.3,3.779745,0.113966
96.4,3.771899,0.113791
96.5,3.763869,0.113642
96.6,3.755902,0.113516
96.7,3.748325,0.113402
96.8,3.741207,0.112983
96.9,3.734245,0.11237
97,3.727798,0.111705
97.1,3.721901,0.111003
97.2,3.716404,0.110211
97.3,3.711505,0.109356
97.4,3.707089,0.108382
97.5,3.703657,0.107415
97.6,3.701106,0.106773
97.7,3.699281,0.106201
97.8,3.698141,0.105774
97.9,3.697112,0.105276
98,3.696462,0.104984
98.1,3.696288,0.104871
98.2,3.696455,0.104707
98.3,3.696904,0.104556
98.4,3.697973,0.104287
98.5,3.700186,0.103985
98.6,3.703475,0.103796
98.7,3.707545,0.103569
98.8,3.71205,0.103323
98.9,3.716474,0.10297
99,3.720692,0.102751
99.1,3.724701,0.102627
99.2,3.727846,0.102526
99.3,3.729773,0.102517
99.4,3.731072,0.102389
99.5,3.731573,0.102523
99.6,3.731504,0.102965
99.7,3.731446,0.103615
99.8,3.731774,0.104288
99.9,3.732453,0.104721
100,3.732737,0.105144
100.1,3.732309,0.105763
100.2,3.731133,0.106385
100.3,3.729436,0.107132
100.4,3.727624,0.107938
100.5,3.725753,0.108943
100.6,3.7238,0.110016
100.7,3.722361,0.111148
100.8,3.721836,0.112251
100.9,3.72124,0.113262
